"sentence","label"
"No acute intracranial hemorrhage, mass effect, or new infarct. Mild chronic ischemic white matter changes are unchanged from prior study.","0"
"No acute abnormality. Ventricles are within normal size limits. No skull fracture is identified.","0"
"Follow-up CT showed that Postoperative changes are stable compared with previous exam. No interval worsening is observed.","0"
"Chronic small-vessel ischemic changes in bilateral deep white matter. No new focal lesion.","0"
"No clinically significant interval change. Continue routine clinical follow-up as needed.","0"
"Old infarct changes are stable. No new hemorrhage or space-occupying lesion.","0"
"Mild cerebral atrophy compatible with age. No acute intracranial process.","0"
"No significant parenchymal abnormality. Paranasal sinuses and mastoid air cells are clear.","0"
"Stable low-density areas in deep white matter, consistent with chronic ischemic change.","0"
"No urgent finding requiring change in treatment at this time.","0"
"No acute intracranial hemorrhage, mass effect, or new infarct. Mild chronic ischemic white matter changes are unchanged from prior study.","0"
"No acute abnormality. Ventricles are within normal size limits. No skull fracture is identified.","0"
"Follow-up CT showed that Postoperative changes are stable compared with previous exam. No interval worsening is observed.","0"
"Chronic small-vessel ischemic changes in bilateral deep white matter. No new focal lesion.","0"
"No clinically significant interval change. Continue routine clinical follow-up as needed.","0"
"Old infarct changes are stable. No new hemorrhage or space-occupying lesion.","0"
"Mild cerebral atrophy compatible with age. No acute intracranial process.","0"
"No significant parenchymal abnormality. Paranasal sinuses and mastoid air cells are clear.","0"
"Stable low-density areas in deep white matter, consistent with chronic ischemic change.","0"
"No urgent finding requiring change in treatment at this time.","0"
